link,code,company,status,plane,origin,depDate,depTime,sDepTime,depTerm,depGate,destin,arrDate,arrTime,sArrTime,arrTerm,arrGate
https://www.barcelona-airport.com/eng/flight-arrival/LH1132,LH1132,Lufthansa,Landed - On-time,Airbus A320 (sharklets),Frankfurt (FRA),2019-11-11,16:15,16:05,1,A25,Barcelona (BCN),2019-11-11,18:05,18:05,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/EY4174,EY4174,Etihad Airways,Landed - On-time,Airbus A320 (sharklets),Frankfurt (FRA),2019-11-11,16:15,16:05,1,A25,Barcelona (BCN),2019-11-11,18:05,18:05,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/SK3384,SK3384,SAS,Landed - On-time,Airbus A320 (sharklets),Frankfurt (FRA),2019-11-11,16:15,16:05,1,A25,Barcelona (BCN),2019-11-11,18:05,18:05,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/UA9515,UA9515,United Airlines,Landed - On-time,Airbus A320 (sharklets),Frankfurt (FRA),2019-11-11,16:15,16:05,1,A25,Barcelona (BCN),2019-11-11,18:05,18:05,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/VY6515,VY6515,Vueling,Landed - On-time,Airbus A320,Turin (TRN),2019-11-11,16:34,16:40,-,-,Barcelona (BCN),2019-11-11,17:50,18:05,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/IB5604,IB5604,Iberia,Landed - On-time,Airbus A320,Turin (TRN),2019-11-11,16:34,16:40,-,-,Barcelona (BCN),2019-11-11,17:50,18:05,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/QR3643,QR3643,Qatar Airways,Landed - On-time,Airbus A320,Turin (TRN),2019-11-11,16:34,16:40,-,-,Barcelona (BCN),2019-11-11,17:50,18:05,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/PQ741,PQ741,SkyUP Airlines,Landed - On-time,Boeing 737-800 (Scimitar Winglets) Passenger,Kiev/Kyiv (KBP),2019-11-11,15:30,15:30,F,-,Barcelona (BCN),2019-11-11,18:09,18:10,2-T2,-
https://www.barcelona-airport.com/eng/flight-arrival/VY1656,VY1656,Vueling,Landed - On-time,Airbus A320 (sharklets),Madrid (MAD),2019-11-11,17:08,16:55,4,J48,Barcelona (BCN),2019-11-11,18:20,18:10,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/IB5869,IB5869,Iberia,Landed - On-time,Airbus A320 (sharklets),Madrid (MAD),2019-11-11,17:08,16:55,4,J48,Barcelona (BCN),2019-11-11,18:20,18:10,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/FR6321,FR6321,Ryanair,Landed - On-time,Boeing 737-800 (winglets) Passenger/BBJ2,Valladolid (VLL),2019-11-11,17:18,16:55,1,5,Barcelona (BCN),2019-11-11,18:28,18:15,2-T2,-
https://www.barcelona-airport.com/eng/flight-arrival/FR8842,FR8842,Ryanair,Landed - On-time,Boeing 737-800 (winglets) Passenger/BBJ2,Ibiza (IBZ),2019-11-11,17:25,17:25,1,06,Barcelona (BCN),2019-11-11,18:15,18:20,2-T2,-
https://www.barcelona-airport.com/eng/flight-arrival/0B107,0B107,Blue Air,Landed - Delayed,Boeing 737-800 (winglets) Passenger/BBJ2,Bucharest (OTP),2019-11-11,16:36,16:00,-,-,Barcelona (BCN),2019-11-11,19:06,18:20,2-T2,-
https://www.barcelona-airport.com/eng/flight-arrival/U21409,U21409,easyJet,Landed - On-time,Airbus A320 (sharklets),Geneva (GVA),2019-11-11,16:58,17:00,-,D22,Barcelona (BCN),2019-11-11,18:21,18:25,2-T2,-
https://www.barcelona-airport.com/eng/flight-arrival/VY8019,VY8019,Vueling,Landed - On-time,Airbus A321 (sharklets),Paris (ORY),2019-11-11,16:55,16:45,OR,A22,Barcelona (BCN),2019-11-11,18:26,18:25,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/BA8147,BA8147,British Airways,Landed - On-time,Airbus A321 (sharklets),Paris (ORY),2019-11-11,16:55,16:45,OR,A22,Barcelona (BCN),2019-11-11,18:26,18:25,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/IB5725,IB5725,Iberia,Landed - On-time,Airbus A321 (sharklets),Paris (ORY),2019-11-11,16:55,16:45,OR,A22,Barcelona (BCN),2019-11-11,18:26,18:25,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/VY8721,VY8721,Vueling,Landed - Delayed,Airbus A320 (sharklets),Dublin (DUB),2019-11-11,18:02,15:00,1,210,Barcelona (BCN),2019-11-11,21:02,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/IB5814,IB5814,Iberia,Landed - Delayed,Airbus A320 (sharklets),Dublin (DUB),2019-11-11,18:02,15:00,1,210,Barcelona (BCN),2019-11-11,21:02,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/FR1680,FR1680,Ryanair,Landed - On-time,Boeing 737-800 (winglets) Passenger/BBJ2,Frankfurt (FRA),2019-11-11,16:05,16:10,2,D22,Barcelona (BCN),2019-11-11,18:06,18:30,2-T2,-
https://www.barcelona-airport.com/eng/flight-arrival/KE915,KE915,Korean Air,Landed - Delayed,Boeing 787-9,Seoul (ICN),2019-11-11,13:38,13:35,2,242,Barcelona (BCN),2019-11-11,19:00,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/VY8479,VY8479,Vueling,Landed - On-time,Airbus A321 (sharklets),Porto (OPO),2019-11-11,15:37,15:45,-,-,Barcelona (BCN),2019-11-11,18:29,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/IB5791,IB5791,Iberia,Landed - On-time,Airbus A321 (sharklets),Porto (OPO),2019-11-11,15:37,15:45,-,-,Barcelona (BCN),2019-11-11,18:29,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/QR3684,QR3684,Qatar Airways,Landed - On-time,Airbus A321 (sharklets),Porto (OPO),2019-11-11,15:37,15:45,-,-,Barcelona (BCN),2019-11-11,18:29,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/VY3913,VY3913,Vueling,Landed - On-time,Airbus A320,Palma Mallorca (PMI),2019-11-11,17:32,17:35,-,D90,Barcelona (BCN),2019-11-11,18:13,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/IB5457,IB5457,Iberia,Landed - On-time,Airbus A320,Palma Mallorca (PMI),2019-11-11,17:32,17:35,-,D90,Barcelona (BCN),2019-11-11,18:13,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/QR3512,QR3512,Qatar Airways,Landed - On-time,Airbus A320,Palma Mallorca (PMI),2019-11-11,17:32,17:35,-,D90,Barcelona (BCN),2019-11-11,18:13,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/VY6405,VY6405,Vueling,Landed - On-time,Airbus A320neo,Venice (VCE),2019-11-11,16:35,16:35,-,-,Barcelona (BCN),2019-11-11,18:23,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/BA8164,BA8164,British Airways,Landed - On-time,Airbus A320neo,Venice (VCE),2019-11-11,16:35,16:35,-,-,Barcelona (BCN),2019-11-11,18:23,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/IB5597,IB5597,Iberia,Landed - On-time,Airbus A320neo,Venice (VCE),2019-11-11,16:35,16:35,-,-,Barcelona (BCN),2019-11-11,18:23,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/QR3697,QR3697,Qatar Airways,Landed - On-time,Airbus A320neo,Venice (VCE),2019-11-11,16:35,16:35,-,-,Barcelona (BCN),2019-11-11,18:23,18:30,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/AF1048,AF1048,Air France,Landed - On-time,Airbus A318,Paris (CDG),2019-11-11,16:57,17:00,2F,F55,Barcelona (BCN),2019-11-11,18:24,18:40,1-T1,-
https://www.barcelona-airport.com/eng/flight-arrival/DL8281,DL8281,Delta Air Lines,Landed - On-time,Airbus A318,Paris (CDG),2019-11-11,16:57,17:00,2F,F55,Barcelona (BCN),2019-11-11,18:24,18:40,1-T1,-
